# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-1 -9 9 71af46
-1 -9 10 ac3131
1 -9 7 71af46
0 -9 8 5da5b4
1 -9 8 ac3131
2 -9 8 71af46
0 -9 9 ac3131
1 -9 9 beb842
2 -9 9 5da5b4
3 -9 9 ac3131
0 -9 10 5da5b4
1 -9 10 71af46
2 -9 10 ac3131
3 -9 10 71af46
0 -9 11 beb842
1 -9 11 ac3131
2 -9 11 5da5b4
1 -9 12 5da5b4
-2 -9 18 beb842
-1 -9 18 5da5b4
-3 -8 18 5da4b3
-3 -7 18 ab3231
-3 -5 18 bdb742
-3 -4 18 5da4b3
-2 -3 18 5da4b3
-1 -3 18 bdb742
-2 -9 19 5da5b4
-1 -9 19 ac3131
-3 -8 19 ab3231
-3 -7 19 bdb742
-3 -5 19 ab3231
-3 -4 19 ab3231
-2 -3 19 71af45
-1 -3 19 ab3231
-2 -9 20 ac3131
-1 -9 20 98e44f
-3 -8 20 71af45
-3 -7 20 ab3231
-3 -5 20 5da5b3
-3 -4 20 bdb742
-2 -3 20 ab3231
-1 -3 20 5da5b3
-2 -9 21 98e44f
-1 -9 21 5da5b4
-3 -8 21 ab3231
-3 -7 21 bdb742
-3 -5 21 71af45
-3 -4 21 ab3231
-2 -3 21 bdb742
-1 -3 21 71af45
-2 -9 22 5da5b4
-1 -9 22 beb842
-3 -8 22 5da4b3
-3 -7 22 ab3231
-3 -5 22 5da4b3
-3 -4 22 bdb742
-2 -3 22 5da5b3
-1 -3 22 ab3231
2 -9 18 71af46
3 -9 18 5fcce3
4 -8 18 5da4b3
4 -7 18 71af45
4 -5 18 bdb742
4 -4 18 5da4b3
2 -3 18 5da4b3
3 -3 18 bdb742
2 -9 19 ac3131
3 -9 19 71af45
4 -8 19 bdb742
4 -7 19 5da4b3
4 -5 19 ab3231
4 -4 19 bdb742
2 -3 19 71af45
3 -3 19 ab3232
2 -9 20 beb842
3 -9 20 ac3131
4 -8 20 ab3231
4 -7 20 bdb742
4 -5 20 bdb742
4 -4 20 5da4b3
2 -3 20 ab3231
3 -3 20 5da4b3
2 -9 21 5da5b4
3 -9 21 98e44f
4 -8 21 bdb742
4 -7 21 5da4b3
4 -5 21 ab3231
4 -4 21 71af45
2 -3 21 bdb742
3 -3 21 71af45
2 -9 22 ac3131
3 -9 22 5da5b4
4 -8 22 5da4b3
4 -7 22 ab3232
4 -5 22 5da4b3
4 -4 22 ab3231
2 -3 22 5da4b3
3 -3 22 ab3231
