# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -6 4 c0cddc
5 -6 4 c0cddc
6 -6 4 c0cddc
4 -5 4 c0cddc
5 -5 4 c0cddc
6 -5 4 c0cddc
4 -4 4 c0cddc
5 -4 4 c0cddc
6 -4 4 c0cddc
4 -6 5 fefefe
5 -6 5 afc6f3
6 -6 5 fefefe
4 -5 5 afc6f3
5 -5 5 eec39a
6 -5 5 afc6f3
4 -4 5 fefefe
5 -4 5 afc6f3
6 -4 5 fefefe
4 -6 6 afc6f3
5 -6 6 fefefe
6 -6 6 afc6f3
4 -5 6 fefefe
5 -5 6 eec39a
6 -5 6 fefefe
4 -4 6 afc6f3
5 -4 6 fefefe
6 -4 6 afc6f3
5 -7 7 c3b65f
5 -5 7 eec39a
4 -7 8 c3b65f
5 -7 8 c3b65f
6 -7 8 c3b65f
3 -6 8 c3b65f
4 -6 8 c3b65f
5 -6 8 c3b65f
6 -6 8 c3b65f
7 -6 8 c3b65f
3 -5 8 c3b65f
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
7 -5 8 c3b65f
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -7 9 c3b65f
5 -7 9 c3b65f
6 -7 9 c3b65f
3 -6 9 c3b65f
4 -6 9 86663c
5 -6 9 86663c
6 -6 9 86663c
7 -6 9 c3b65f
3 -5 9 c3b65f
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
7 -5 9 c3b65f
4 -4 9 4f70ae
5 -4 9 eec39a
6 -4 9 4f70ae
4 -6 10 c3b65f
5 -6 10 c3b65f
6 -6 10 c3b65f
4 -5 10 c3b65f
5 -5 10 c3b65f
6 -5 10 c3b65f
4 -4 10 c3b65f
5 -4 10 c3b65f
6 -4 10 c3b65f
