# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -6 4 000000
5 -6 4 000000
6 -6 4 000000
4 -5 4 000000
5 -5 4 000000
6 -5 4 000000
4 -4 4 000000
5 -4 4 000000
6 -4 4 000000
4 -6 5 211f33
5 -6 5 ab3232
6 -6 5 211f33
4 -5 5 ab3232
5 -5 5 eec39a
6 -5 5 ab3232
4 -4 5 211f33
5 -4 5 ab3232
6 -4 5 211f33
4 -6 6 ab3232
5 -6 6 211f33
6 -6 6 ab3232
4 -5 6 211f33
5 -5 6 eec39a
6 -5 6 211f33
4 -4 6 ab3232
5 -4 6 211f33
6 -4 6 ab3232
5 -5 7 eec39a
4 -6 8 eec39a
5 -6 8 eec39a
6 -6 8 eec39a
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -6 9 eec39a
5 -6 9 eec39a
6 -6 9 eec39a
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
4 -4 9 4b692f
5 -4 9 eec39a
6 -4 9 4b692f
4 -6 10 663931
5 -6 10 663931
6 -6 10 663931
4 -5 10 663931
5 -5 10 663931
6 -5 10 663931
4 -4 10 663931
5 -4 10 663931
6 -4 10 663931
