# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -6 3 222034
5 -6 3 222034
6 -6 3 222034
4 -5 3 222034
5 -5 3 222034
6 -5 3 222034
4 -4 3 222034
5 -4 3 222034
6 -4 3 222034
4 -6 4 222034
5 -6 4 222034
6 -6 4 222034
4 -5 4 222034
5 -5 4 222034
6 -5 4 222034
4 -4 4 222034
5 -4 4 222034
6 -4 4 222034
4 -6 5 222034
5 -6 5 222033
6 -6 5 222034
4 -5 5 222033
5 -5 5 eec39a
6 -5 5 222033
4 -4 5 222034
5 -4 5 222033
6 -4 5 222034
4 -6 6 222034
5 -6 6 222033
6 -6 6 222034
4 -5 6 222034
5 -5 6 eec39a
6 -5 6 222034
4 -4 6 222034
5 -4 6 fefefe
6 -4 6 222034
5 -5 7 eec39a
4 -6 8 eec39a
5 -6 8 eec39a
6 -6 8 eec39a
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -6 9 eec39a
5 -6 9 eec39a
6 -6 9 eec39a
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
4 -4 9 a97459
5 -4 9 eec39a
6 -4 9 a97459
4 -6 10 44273b
5 -6 10 44273b
6 -6 10 44273b
4 -5 10 44273b
5 -5 10 44273b
6 -5 10 44273b
4 -4 10 fdfdfd
5 -4 10 fdfdfd
6 -4 10 fdfdfd
5 -4 11 fefefe
