# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-1 -5 16 312f2e
-2 -4 16 312f2e
-1 -4 16 312f2e
-2 -3 16 312f2e
-1 -3 16 312f2e
-1 -2 16 312f2e
-2 -6 17 312f2e
-1 -6 17 312f2e
-3 -5 17 312f2e
-2 -5 17 312f2e
-1 -5 17 312f2e
-3 -4 17 312f2e
-2 -4 17 312f2e
-1 -4 17 312f2e
-3 -3 17 312f2e
-2 -3 17 312f2e
-1 -3 17 312f2e
-3 -2 17 312f2e
-2 -2 17 312f2e
-1 -2 17 312f2e
-2 -1 17 312f2e
-1 -1 17 312f2e
-1 -7 18 312f2e
-3 -6 18 312f2e
-2 -6 18 312f2e
-1 -6 18 312f2e
-3 -5 18 312f2e
-2 -5 18 312f2e
-1 -5 18 312f2e
-4 -4 18 312f2e
-3 -4 18 312f2e
-2 -4 18 312f2e
-1 -4 18 312f2e
-4 -3 18 312f2e
-3 -3 18 312f2e
-2 -3 18 312f2e
-1 -3 18 312f2e
-3 -2 18 312f2e
-2 -2 18 312f2e
-1 -2 18 312f2e
-3 -1 18 312f2e
-2 -1 18 312f2e
-1 -1 18 312f2e
-2 -7 19 312f2e
-1 -7 19 312f2e
-3 -6 19 312f2e
-2 -6 19 312f2e
-1 -6 19 312f2e
-4 -5 19 312f2e
-3 -5 19 312f2e
-2 -5 19 312f2e
-1 -5 19 312f2e
-4 -4 19 312f2e
-3 -4 19 312f2e
-2 -4 19 312f2e
-1 -4 19 312f2e
-4 -3 19 312f2e
-3 -3 19 312f2e
-2 -3 19 312f2e
-1 -3 19 312f2e
-4 -2 19 312f2e
-3 -2 19 312f2e
-2 -2 19 312f2e
-1 -2 19 312f2e
-3 -1 19 312f2e
-2 -1 19 312f2e
-1 -1 19 312f2e
-2 -7 20 312f2e
-1 -7 20 312f2e
-3 -6 20 312f2e
-2 -6 20 312f2e
-1 -6 20 312f2e
-4 -5 20 312f2e
-3 -5 20 312f2e
-2 -5 20 312f2e
-1 -5 20 312f2e
-4 -4 20 312f2e
-3 -4 20 312f2e
-2 -4 20 312f2e
-1 -4 20 312f2e
-4 -3 20 312f2e
-3 -3 20 312f2e
-2 -3 20 312f2e
-1 -3 20 312f2e
-4 -2 20 312f2e
-3 -2 20 312f2e
-2 -2 20 312f2e
-1 -2 20 312f2e
-3 -1 20 312f2e
-2 -1 20 312f2e
-1 -1 20 312f2e
-1 -7 21 312f2e
-3 -6 21 312f2e
-2 -6 21 312f2e
-1 -6 21 312f2e
-3 -5 21 312f2e
-2 -5 21 312f2e
-1 -5 21 312f2e
-4 -4 21 312f2e
-3 -4 21 312f2e
-2 -4 21 312f2e
-1 -4 21 312f2e
-4 -3 21 312f2e
-3 -3 21 312f2e
-2 -3 21 312f2e
-1 -3 21 312f2e
-3 -2 21 312f2e
-2 -2 21 312f2e
