# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-7 -12 0 9a6b55
-6 -12 0 9a6b55
-5 -12 0 9a6b55
-4 -12 0 9a6b55
-3 -12 0 9a6b55
-2 -12 0 9a6b55
-7 -11 0 9a6b55
-6 -11 0 9a6b55
-5 -11 0 9a6b55
-4 -11 0 9a6b55
-3 -11 0 9a6b55
-2 -11 0 9a6b55
-8 -10 0 9a6b55
-7 -10 0 9a6b55
-6 -10 0 9a6b55
-5 -10 0 9a6b55
-4 -10 0 9a6b55
-3 -10 0 9a6b55
-2 -10 0 9a6b55
-1 -10 0 9a6b55
-8 -9 0 9a6b55
-7 -9 0 9a6b55
-6 -9 0 9a6b55
-5 -9 0 9a6b55
-4 -9 0 9a6b55
-3 -9 0 9a6b55
-2 -9 0 9a6b55
-1 -9 0 9a6b55
-8 -8 0 9a6b55
-7 -8 0 9a6b55
-6 -8 0 9a6b55
-5 -8 0 9a6b55
-4 -8 0 9a6b55
-3 -8 0 9a6b55
-2 -8 0 9a6b55
-1 -8 0 9a6b55
-8 -7 0 9a6b55
-7 -7 0 9a6b55
-6 -7 0 9a6b55
-5 -7 0 9a6b55
-4 -7 0 9a6b55
-3 -7 0 9a6b55
-2 -7 0 9a6b55
-1 -7 0 9a6b55
-8 -6 0 9a6b55
-7 -6 0 9a6b55
-6 -6 0 9a6b55
-5 -6 0 9a6b55
-4 -6 0 9a6b55
-3 -6 0 9a6b55
-2 -6 0 9a6b55
-1 -6 0 9a6b55
-8 -5 0 9a6b55
-7 -5 0 9a6b55
-6 -5 0 9a6b55
-5 -5 0 9a6b55
-4 -5 0 9a6b55
-3 -5 0 9a6b55
-2 -5 0 9a6b55
-1 -5 0 9a6b55
-8 -4 0 9a6b55
-7 -4 0 9a6b55
-6 -4 0 9a6b55
-5 -4 0 9a6b55
-4 -4 0 9a6b55
-3 -4 0 9a6b55
-2 -4 0 9a6b55
-1 -4 0 9a6b55
-8 -3 0 9a6b55
-7 -3 0 9a6b55
-6 -3 0 9a6b55
-5 -3 0 9a6b55
-4 -3 0 9a6b55
-3 -3 0 9a6b55
-2 -3 0 9a6b55
-1 -3 0 9a6b55
-8 -2 0 9a6b55
-7 -2 0 9a6b55
-6 -2 0 9a6b55
-5 -2 0 9a6b55
-4 -2 0 9a6b55
-3 -2 0 9a6b55
-2 -2 0 9a6b55
-1 -2 0 9a6b55
-8 -1 0 9a6b55
-7 -1 0 9a6b55
-6 -1 0 9a6b55
-5 -1 0 9a6b55
-4 -1 0 9a6b55
-3 -1 0 9a6b55
-2 -1 0 9a6b55
-1 -1 0 9a6b55
-6 -11 1 c66ca9
-5 -11 1 db93c4
-4 -11 1 c66daa
-3 -11 1 dc94c5
-8 -10 1 9a6b55
-7 -10 1 9a6b55
-6 -10 1 9a6b55
-5 -10 1 9a6b55
-4 -10 1 9a6b55
-3 -10 1 9a6b55
-2 -10 1 9a6b55
-1 -10 1 9a6b55
-8 -9 1 9a6b55
-8 -8 1 9a6b55
-8 -7 1 9a6b55
-8 -6 1 9a6b55
-8 -5 1 9a6b55
-8 -4 1 9a6b55
-8 -3 1 9a6b55
-8 -2 1 9a6b55
-8 -1 1 9a6b55
-8 -10 2 9a6b55
-7 -10 2 9a6b55
-6 -10 2 9a6b55
-5 -10 2 9a6b55
-4 -10 2 9a6b55
-3 -10 2 9a6b55
-2 -10 2 9a6b55
-1 -10 2 9a6b55
-8 -9 2 9a6b55
-8 -8 2 9a6b55
-8 -7 2 9a6b55
-8 -6 2 9a6b55
-8 -5 2 9a6b55
-8 -4 2 9a6b55
-8 -3 2 9a6b55
-8 -2 2 9a6b55
-8 -1 2 9a6b55
-8 -10 3 9a6b55
-7 -10 3 9a6b55
-6 -10 3 9a6b55
-5 -10 3 9a6b55
-4 -10 3 9a6b55
-3 -10 3 9a6b55
-2 -10 3 9a6b55
-1 -10 3 9a6b55
-8 -9 3 9a6b55
-8 -8 3 9a6b55
-8 -7 3 9a6b55
-8 -6 3 9a6b55
-8 -5 3 9a6b55
-8 -4 3 9a6b55
-8 -3 3 9a6b55
-8 -2 3 9a6b55
-8 -1 3 9a6b55
-8 -10 4 9a6b55
-7 -10 4 9a6b55
-2 -10 4 9a6b55
-1 -10 4 9a6b55
-8 -9 4 9a6b55
-8 -8 4 9a6b55
-8 -7 4 9a6b55
-8 -6 4 9a6b55
-8 -5 4 9a6b55
-8 -4 4 9a6b55
-8 -3 4 9a6b55
-8 -2 4 9a6b55
-8 -1 4 9a6b55
-8 -10 5 9a6b55
-7 -10 5 9a6b55
-2 -10 5 9a6b55
-1 -10 5 9a6b55
-8 -9 5 9a6b55
-8 -8 5 9a6b55
-8 -7 5 9a6b55
-8 -6 5 9a6b55
-8 -5 5 9a6b55
-8 -4 5 9a6b55
-8 -3 5 9a6b55
-8 -2 5 9a6b55
-8 -1 5 9a6b55
-8 -10 6 9a6b55
-7 -10 6 9a6b55
-6 -10 6 9a6b55
-5 -10 6 9a6b55
-4 -10 6 9a6b55
-3 -10 6 9a6b55
-2 -10 6 9a6b55
-1 -10 6 9a6b55
-8 -9 6 9a6b55
-6 -9 6 9a6b55
-5 -9 6 9a6b55
