# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
0 -8 0 555147
1 -8 0 555147
2 -8 0 555147
3 -8 0 555147
4 -8 0 555147
5 -8 0 555147
6 -8 0 555147
7 -8 0 555147
0 -7 0 816546
1 -7 0 fcd89a
2 -7 0 fcd89a
3 -7 0 fcd89a
4 -7 0 fcd89a
5 -7 0 fcd89a
6 -7 0 fcd89a
7 -7 0 555147
0 -6 0 816546
1 -6 0 fcd89a
2 -6 0 fcd89a
3 -6 0 fcd89a
4 -6 0 fcd89a
5 -6 0 fcd89a
6 -6 0 fcd89a
7 -6 0 555147
0 -5 0 816546
1 -5 0 fcd89a
2 -5 0 fcd89a
3 -5 0 fcd89a
4 -5 0 fcd89a
5 -5 0 fcd89a
6 -5 0 fcd89a
7 -5 0 555147
0 -4 0 816546
1 -4 0 fcd89a
2 -4 0 fcd89a
3 -4 0 fcd89a
4 -4 0 fcd89a
5 -4 0 fcd89a
6 -4 0 fcd89a
7 -4 0 555147
0 -3 0 816546
1 -3 0 fcd89a
2 -3 0 fcd89a
3 -3 0 fcd89a
4 -3 0 fcd89a
5 -3 0 fcd89a
6 -3 0 fcd89a
7 -3 0 555147
0 -2 0 816546
1 -2 0 fcd89a
2 -2 0 fcd89a
3 -2 0 fcd89a
4 -2 0 fcd89a
5 -2 0 fcd89a
6 -2 0 fcd89a
7 -2 0 555147
0 -1 0 816546
1 -1 0 816546
2 -1 0 816546
3 -1 0 816546
4 -1 0 816546
5 -1 0 816546
6 -1 0 816546
7 -1 0 555147
7 -8 1 555147
7 -8 2 555147
7 -8 3 555147
7 -8 4 555147
7 -8 5 555147
7 -8 6 555147
7 -8 7 555147
7 -8 8 555147
7 -8 9 555147
0 -8 10 555147
1 -8 10 555147
2 -8 10 555147
3 -8 10 555147
4 -8 10 555147
5 -8 10 555147
6 -8 10 555147
7 -8 10 555147
7 -7 10 555147
7 -6 10 555147
7 -5 10 555147
7 -4 10 555147
7 -3 10 555147
7 -2 10 555147
7 -1 10 555147
0 -8 11 816546
3 -8 11 816546
4 -8 11 816546
0 -7 11 816546
3 -7 11 816546
4 -7 11 816546
0 -6 11 816546
3 -6 11 816546
4 -6 11 816546
0 -5 11 816546
3 -5 11 816546
4 -5 11 816546
0 -4 11 816546
3 -4 11 816546
4 -4 11 816546
0 -3 11 816546
3 -3 11 816546
4 -3 11 816546
0 -2 11 816546
3 -2 11 816546
4 -2 11 816546
0 -1 11 816546
3 -1 11 816546
4 -1 11 816546
0 0 0 816546
1 0 0 816546
2 0 0 816546
3 0 0 816546
4 0 0 816546
5 0 0 816546
6 0 0 816546
7 0 0 555147
0 1 0 816546
1 1 0 fcd89a
2 1 0 fcd89a
3 1 0 fcd89a
4 1 0 fcd89a
5 1 0 fcd89a
6 1 0 fcd89a
7 1 0 555147
0 2 0 816546
1 2 0 fcd89a
2 2 0 fcd89a
3 2 0 fcd89a
4 2 0 fcd89a
5 2 0 fcd89a
6 2 0 fcd89a
7 2 0 555147
0 3 0 816546
1 3 0 fcd89a
2 3 0 fcd89a
3 3 0 fcd89a
4 3 0 fcd89a
5 3 0 fcd89a
6 3 0 fcd89a
7 3 0 555147
0 4 0 816546
1 4 0 fcd89a
2 4 0 fcd89a
3 4 0 fcd89a
4 4 0 fcd89a
5 4 0 fcd89a
6 4 0 fcd89a
7 4 0 555147
0 5 0 816546
1 5 0 fcd89a
2 5 0 fcd89a
3 5 0 fcd89a
4 5 0 fcd89a
5 5 0 fcd89a
6 5 0 fcd89a
7 5 0 555147
0 6 0 816546
1 6 0 fcd89a
2 6 0 fcd89a
3 6 0 fcd89a
4 6 0 fcd89a
5 6 0 fcd89a
6 6 0 fcd89a
7 6 0 555147
0 7 0 555147
1 7 0 555147
2 7 0 555147
3 7 0 555147
4 7 0 555147
5 7 0 555147
6 7 0 555147
7 7 0 555147
7 7 1 555147
7 7 2 555147
7 7 3 555147
7 7 4 555147
7 7 5 555147
7 7 6 555147
7 7 7 555147
7 7 8 555147
7 7 9 555147
7 0 10 555147
7 1 10 555147
7 2 10 555147
7 3 10 555147
7 4 10 555147
7 5 10 555147
7 6 10 555147
0 7 10 555147
1 7 10 555147
2 7 10 555147
3 7 10 555147
4 7 10 555147
5 7 10 555147
6 7 10 555147
7 7 10 555147
0 0 11 816546
3 0 11 816546
4 0 11 816546
0 1 11 816546
3 1 11 816546
4 1 11 816546
0 2 11 816546
3 2 11 816546
4 2 11 816546
0 3 11 816546
3 3 11 816546
4 3 11 816546
0 4 11 816546
3 4 11 816546
4 4 11 816546
0 5 11 816546
3 5 11 816546
4 5 11 816546
0 6 11 816546
3 6 11 816546
4 6 11 816546
0 7 11 816546
3 7 11 816546
4 7 11 816546
-8 -8 0 555147
-7 -8 0 555147
-6 -8 0 555147
-5 -8 0 555147
-4 -8 0 555147
-3 -8 0 555147
-2 -8 0 555147
-1 -8 0 555147
-8 -7 0 555147
-7 -7 0 fcd89a
-6 -7 0 fcd89a
-5 -7 0 fcd89a
-4 -7 0 fcd89a
-3 -7 0 fcd89a
-2 -7 0 fcd89a
-1 -7 0 816546
-8 -6 0 555147
-7 -6 0 fcd89a
-6 -6 0 fcd89a
-5 -6 0 fcd89a
-4 -6 0 fcd89a
-3 -6 0 fcd89a
-2 -6 0 fcd89a
-1 -6 0 816546
-8 -5 0 555147
-7 -5 0 fcd89a
-6 -5 0 fcd89a
-5 -5 0 fcd89a
-4 -5 0 fcd89a
-3 -5 0 fcd89a
-2 -5 0 fcd89a
-1 -5 0 816546
-8 -4 0 555147
-7 -4 0 fcd89a
-6 -4 0 fcd89a
-5 -4 0 fcd89a
-4 -4 0 fcd89a
-3 -4 0 fcd89a
-2 -4 0 fcd89a
-1 -4 0 816546
-8 -3 0 555147
-7 -3 0 fcd89a
-6 -3 0 fcd89a
-5 -3 0 fcd89a
-4 -3 0 fcd89a
-3 -3 0 fcd89a
-2 -3 0 fcd89a
-1 -3 0 816546
-8 -2 0 555147
-7 -2 0 fcd89a
-6 -2 0 fcd89a
-5 -2 0 fcd89a
-4 -2 0 fcd89a
-3 -2 0 fcd89a
-2 -2 0 fcd89a
-1 -2 0 816546
-8 -1 0 555147
-7 -1 0 816546
-6 -1 0 816546
-5 -1 0 816546
-4 -1 0 816546
-3 -1 0 816546
-2 -1 0 816546
-1 -1 0 816546
-8 -8 1 555147
-8 -8 2 555147
-8 -8 3 555147
-8 -8 4 555147
-8 -8 5 555147
-8 -8 6 555147
-8 -8 7 555147
-8 -8 8 555147
-8 -8 9 555147
-8 -8 10 555147
-7 -8 10 555147
-6 -8 10 555147
-5 -8 10 555147
-4 -8 10 555147
-3 -8 10 555147
-2 -8 10 555147
-1 -8 10 555147
-8 -7 10 555147
-8 -6 10 555147
-8 -5 10 555147
-8 -4 10 555147
-8 -3 10 555147
-8 -2 10 555147
-8 -1 10 555147
-5 -8 11 816546
-4 -8 11 816546
-1 -8 11 816546
-5 -7 11 816546
-4 -7 11 816546
-1 -7 11 816546
-5 -6 11 816546
-4 -6 11 816546
-1 -6 11 816546
-5 -5 11 816546
-4 -5 11 816546
-1 -5 11 816546
-5 -4 11 816546
-4 -4 11 816546
-1 -4 11 816546
-5 -3 11 816546
-4 -3 11 816546
-1 -3 11 816546
-5 -2 11 816546
-4 -2 11 816546
-1 -2 11 816546
-5 -1 11 816546
-4 -1 11 816546
-1 -1 11 816546
-8 0 0 555147
-7 0 0 816546
-6 0 0 816546
-5 0 0 816546
-4 0 0 816546
-3 0 0 816546
-2 0 0 816546
-1 0 0 816546
-8 1 0 555147
-7 1 0 fcd89a
-6 1 0 fcd89a
-5 1 0 fcd89a
-4 1 0 fcd89a
-3 1 0 fcd89a
-2 1 0 fcd89a
-1 1 0 816546
-8 2 0 555147
-7 2 0 fcd89a
-6 2 0 fcd89a
-5 2 0 fcd89a
-4 2 0 fcd89a
-3 2 0 fcd89a
-2 2 0 fcd89a
-1 2 0 816546
-8 3 0 555147
-7 3 0 fcd89a
-6 3 0 fcd89a
-5 3 0 fcd89a
-4 3 0 fcd89a
-3 3 0 fcd89a
-2 3 0 fcd89a
-1 3 0 816546
-8 4 0 555147
-7 4 0 fcd89a
-6 4 0 fcd89a
-5 4 0 fcd89a
-4 4 0 fcd89a
-3 4 0 fcd89a
-2 4 0 fcd89a
-1 4 0 816546
-8 5 0 555147
-7 5 0 fcd89a
-6 5 0 fcd89a
-5 5 0 fcd89a
-4 5 0 fcd89a
-3 5 0 fcd89a
-2 5 0 fcd89a
-1 5 0 816546
-8 6 0 555147
-7 6 0 fcd89a
-6 6 0 fcd89a
-5 6 0 fcd89a
-4 6 0 fcd89a
-3 6 0 fcd89a
-2 6 0 fcd89a
-1 6 0 816546
-8 7 0 555147
-7 7 0 555147
-6 7 0 555147
-5 7 0 555147
-4 7 0 555147
-3 7 0 555147
-2 7 0 555147
-1 7 0 555147
-8 7 1 555147
-8 7 2 555147
-8 7 3 555147
-8 7 4 555147
-8 7 5 555147
-8 7 6 555147
-8 7 7 555147
-8 7 8 555147
-8 7 9 555147
-8 0 10 555147
-8 1 10 555147
-8 2 10 555147
-8 3 10 555147
-8 4 10 555147
-8 5 10 555147
-8 6 10 555147
-8 7 10 555147
-7 7 10 555147
-6 7 10 555147
-5 7 10 555147
-4 7 10 555147
-3 7 10 555147
-2 7 10 555147
-1 7 10 555147
-5 0 11 816546
-4 0 11 816546
-1 0 11 816546
-5 1 11 816546
-4 1 11 816546
-1 1 11 816546
-5 2 11 816546
-4 2 11 816546
-1 2 11 816546
-5 3 11 816546
-4 3 11 816546
-1 3 11 816546
-5 4 11 816546
-4 4 11 816546
-1 4 11 816546
-5 5 11 816546
-4 5 11 816546
-1 5 11 816546
-5 6 11 816546
-4 6 11 816546
-1 6 11 816546
-5 7 11 816546
-4 7 11 816546
-1 7 11 816546
