# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -6 4 629afe
5 -6 4 629afe
6 -6 4 629afe
4 -5 4 629afe
5 -5 4 629afe
6 -5 4 629afe
4 -4 4 629afe
5 -4 4 629afe
6 -4 4 629afe
4 -6 5 639bfe
5 -6 5 fea82e
6 -6 5 639bfe
4 -5 5 fea82e
5 -5 5 eec39a
6 -5 5 fea82e
4 -4 5 639bfe
5 -4 5 fea82e
6 -4 5 639bfe
4 -6 6 639bfe
5 -6 6 fea82e
6 -6 6 639bfe
4 -5 6 639bfe
5 -5 6 eec39a
6 -5 6 639bfe
4 -4 6 639bfe
5 -4 6 fea82e
6 -4 6 639bfe
5 -5 7 eec39a
4 -6 8 eec39a
5 -6 8 eec39a
6 -6 8 eec39a
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -6 9 eec39a
5 -6 9 eec39a
6 -6 9 eec39a
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
4 -4 9 768664
5 -4 9 eec39a
6 -4 9 768664
4 -7 10 fda82e
5 -7 10 fda82e
6 -7 10 fda82e
3 -6 10 fda82e
4 -6 10 fca72e
5 -6 10 fca72e
6 -6 10 fca72e
7 -6 10 fda82e
3 -5 10 fda82e
4 -5 10 fca72e
5 -5 10 fca72e
6 -5 10 fca72e
7 -5 10 fda82e
3 -4 10 fda82e
4 -4 10 fca72e
5 -4 10 fca72e
6 -4 10 fca72e
7 -4 10 fda82e
4 -3 10 fda82e
5 -3 10 fda82e
6 -3 10 fda82e
4 -6 11 fda82e
5 -6 11 fda82e
6 -6 11 fda82e
4 -5 11 fda82e
5 -5 11 fda82e
6 -5 11 fda82e
4 -4 11 fda82e
5 -4 11 fda82e
6 -4 11 fda82e
