# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -6 4 629afe
5 -6 4 629afe
6 -6 4 629afe
4 -5 4 629afe
5 -5 4 629afe
6 -5 4 629afe
4 -4 4 629afe
5 -4 4 629afe
6 -4 4 629afe
4 -6 5 fefefe
5 -6 5 a2c1f8
6 -6 5 fefefe
4 -5 5 a2c1f8
5 -5 5 eec39a
6 -5 5 a2c1f8
4 -4 5 fefefe
5 -4 5 a2c0f9
6 -4 5 fefefe
4 -6 6 a2c1f8
5 -6 6 fefefe
6 -6 6 a2c1f8
4 -5 6 fefefe
5 -5 6 eec39a
6 -5 6 fefefe
4 -4 6 a2c0f9
5 -4 6 fefefe
6 -4 6 a2c1f8
5 -5 7 eec39a
4 -6 8 eec39a
5 -6 8 eec39a
6 -6 8 eec39a
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -6 9 eec39a
5 -6 9 eec39a
6 -6 9 eec39a
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
4 -4 9 65869b
5 -4 9 eec39a
6 -4 9 65869b
3 -7 10 f8f57e
4 -7 10 f8f57e
5 -7 10 f8f57e
6 -7 10 f8f57e
7 -7 10 f8f57e
3 -6 10 f8f57e
4 -6 10 f7f47d
5 -6 10 f7f47d
6 -6 10 f7f47d
7 -6 10 f8f57e
3 -5 10 f8f57e
4 -5 10 f7f47d
5 -5 10 f7f47d
6 -5 10 f7f47d
7 -5 10 f8f57e
3 -4 10 f8f57e
4 -4 10 f7f47d
5 -4 10 f7f47d
6 -4 10 f7f47d
7 -4 10 f8f57e
3 -3 10 f8f57e
4 -3 10 f8f57e
5 -3 10 f8f57e
6 -3 10 f8f57e
7 -3 10 f8f57e
4 -6 11 f8f57e
5 -6 11 f8f57e
6 -6 11 f8f57e
4 -5 11 f8f57e
5 -5 11 f8f57e
6 -5 11 f8f57e
4 -4 11 f8f57e
5 -4 11 f8f57e
6 -4 11 f8f57e
