# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
7 -5 6 222033
7 -4 6 222033
7 -3 6 222033
7 -2 6 eec39a
6 -1 6 ffffff
7 -1 6 a40000
6 -1 7 ffffff
7 -1 7 ee2828
6 -1 8 ffffff
7 -1 8 ee2828
6 -1 9 ffffff
7 -1 9 a40000
5 0 6 ffffff
6 0 6 ffffff
7 0 6 a40000
5 1 6 a40000
6 1 6 a40000
7 1 6 a40000
5 0 7 ffffff
6 0 7 ffffff
7 0 7 ee2828
5 1 7 ef2929
6 1 7 ef2929
7 1 7 a40000
5 0 8 ffffff
6 0 8 ffffff
7 0 8 ee2828
5 1 8 ee2828
6 1 8 ee2828
7 1 8 a40000
5 0 9 ffffff
6 0 9 ffffff
7 0 9 a40000
5 1 9 a40000
6 1 9 a40000
7 1 9 a40000
