# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
5 -4 5 696a6a
6 -4 5 696a6a
4 -3 5 696a6a
5 -3 5 696a6a
6 -3 5 696a6a
7 -3 5 696a6a
4 -2 5 696a6a
5 -2 5 696a6a
6 -2 5 696a6a
7 -2 5 696a6a
5 -1 5 696a6a
6 -1 5 696a6a
4 -4 6 696a6a
5 -4 6 696a6a
6 -4 6 696a6a
7 -4 6 696a6a
4 -3 6 696a6a
5 -3 6 696a6a
6 -3 6 fbf236
7 -3 6 696a6a
4 -2 6 696a69
5 -2 6 696a6a
6 -2 6 696a6a
7 -2 6 696a6a
4 -1 6 696a6a
5 -1 6 696a6a
6 -1 6 696a6a
7 -1 6 696a6a
4 -4 7 696a6a
5 -4 7 696a6a
6 -4 7 696a6a
7 -4 7 696a6a
4 -3 7 696a69
5 -3 7 fbf236
6 -3 7 fbf236
7 -3 7 696a6a
4 -2 7 696a69
5 -2 7 fbf236
6 -2 7 fbf236
7 -2 7 696a6a
4 -1 7 696a6a
5 -1 7 696a6a
6 -1 7 696a6a
7 -1 7 696a6a
