# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
4 -5 1 d89f65
6 -5 1 d89f65
4 -4 1 d89f65
6 -4 1 d89f65
4 -5 2 eec39a
6 -5 2 eec39a
4 -5 3 6abe30
6 -5 3 6abe30
4 -6 4 6abe30
5 -6 4 6abe30
6 -6 4 6abe30
4 -5 4 6abe30
5 -5 4 6abe30
6 -5 4 6abe30
4 -4 4 6abe30
5 -4 4 6abd30
6 -4 4 6abe30
4 -6 5 323c38
5 -6 5 323c38
6 -6 5 323c38
4 -5 5 323c38
5 -5 5 eec39a
6 -5 5 323c38
4 -4 5 323c38
5 -4 5 323c38
6 -4 5 323c38
4 -6 6 323c38
5 -6 6 323c38
6 -6 6 323c38
3 -5 6 323c38
4 -5 6 323c38
5 -5 6 eec39a
6 -5 6 323c38
7 -5 6 323c38
3 -4 6 eec39a
4 -4 6 323c38
5 -4 6 323c38
6 -4 6 323c38
7 -4 6 eec39a
3 -3 6 eec39a
7 -3 6 eec39a
3 -2 6 eec39a
7 -2 6 eec39a
5 -5 7 eec39a
4 -6 8 eec39a
5 -6 8 eec39a
6 -6 8 eec39a
4 -5 8 eec39a
5 -5 8 eec39a
6 -5 8 eec39a
4 -4 8 eec39a
5 -4 8 eec39a
6 -4 8 eec39a
4 -6 9 eec39a
5 -6 9 eec39a
6 -6 9 eec39a
4 -5 9 eec39a
5 -5 9 eec39a
6 -5 9 eec39a
4 -4 9 96bbfe
5 -4 9 eec39a
6 -4 9 96bbfe
4 -6 10 8f563a
5 -6 10 8f563a
6 -6 10 8f563a
4 -5 10 8f563a
5 -5 10 8f563a
6 -5 10 8f563a
4 -4 10 8f563a
5 -4 10 8f563a
6 -4 10 8f563a
