# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-16 -2 0 7b4830
-15 -2 0 7b4830
-14 -2 0 7b4830
-13 -2 0 7b4830
-12 -2 0 7b4830
-11 -2 0 7b4830
-10 -2 0 7b4830
-9 -2 0 7b4830
-8 -2 0 7b4830
-7 -2 0 7b4830
-6 -2 0 7b4830
-5 -2 0 7b4830
-4 -2 0 7b4830
-3 -2 0 7b4830
-2 -2 0 7b4830
-1 -2 0 7b4830
-16 -1 0 7b4830
-15 -1 0 7b4830
-14 -1 0 7b4830
-13 -1 0 7b4830
-12 -1 0 7b4830
-11 -1 0 7b4830
-10 -1 0 7b4830
-9 -1 0 7b4830
-8 -1 0 7b4830
-7 -1 0 7b4830
-6 -1 0 7b4830
-5 -1 0 7b4830
-4 -1 0 7b4830
-3 -1 0 7b4830
-2 -1 0 7b4830
-1 -1 0 7b4830
-16 0 0 7b4830
-15 0 0 7b4830
-14 0 0 7b4830
-13 0 0 7b4830
-12 0 0 7b4830
-11 0 0 7b4830
-10 0 0 7b4830
-9 0 0 7b4830
-8 0 0 7b4830
-7 0 0 7b4830
-6 0 0 7b4830
-5 0 0 7b4830
-4 0 0 7b4830
-3 0 0 7b4830
-2 0 0 7b4830
-1 0 0 7b4830
-16 1 0 7b4830
-15 1 0 7b4830
-14 1 0 7b4830
-13 1 0 7b4830
-12 1 0 7b4830
-11 1 0 7b4830
-10 1 0 7b4830
-9 1 0 7b4830
-8 1 0 7b4830
-7 1 0 7b4830
-6 1 0 7b4830
-5 1 0 7b4830
-4 1 0 7b4830
-3 1 0 7b4830
-2 1 0 7b4830
-1 1 0 7b4830
-16 2 0 7b4830
-15 2 0 7b4830
-14 2 0 7b4830
-13 2 0 7b4830
-12 2 0 7b4830
-11 2 0 7b4830
-10 2 0 7b4830
-9 2 0 7b4830
-8 2 0 7b4830
-7 2 0 7b4830
-6 2 0 7b4830
-5 2 0 7b4830
-4 2 0 7b4830
-3 2 0 7b4830
-2 2 0 7b4830
-1 2 0 7b4830
-16 3 0 7b4830
-15 3 0 7b4830
-14 3 0 7b4830
-13 3 0 7b4830
-12 3 0 7b4830
-11 3 0 7b4830
-10 3 0 7b4830
-9 3 0 7b4830
-8 3 0 7b4830
-7 3 0 7b4830
-6 3 0 7b4830
-5 3 0 7b4830
-4 3 0 7b4830
-3 3 0 7b4830
-2 3 0 7b4830
-1 3 0 7b4830
-16 4 0 7b4830
-15 4 0 7b4830
-14 4 0 7b4830
-13 4 0 7b4830
-12 4 0 7b4830
-11 4 0 7b4830
-10 4 0 7b4830
-9 4 0 7b4830
-8 4 0 7b4830
-7 4 0 7b4830
-6 4 0 7b4830
-5 4 0 7b4830
-4 4 0 7b4830
-3 4 0 7b4830
-2 4 0 7b4830
-1 4 0 7b4830
-16 5 0 7b4830
-15 5 0 7b4830
-14 5 0 7b4830
-13 5 0 7b4830
-12 5 0 7b4830
-11 5 0 7b4830
-10 5 0 7b4830
-9 5 0 7b4830
-8 5 0 7b4830
-7 5 0 7b4830
-6 5 0 7b4830
-5 5 0 7b4830
-4 5 0 7b4830
-3 5 0 7b4830
-2 5 0 7b4830
-1 5 0 7b4830
-16 6 0 7b4830
-15 6 0 7b4830
-14 6 0 7b4830
-13 6 0 7b4830
-12 6 0 7b4830
-11 6 0 7b4830
-10 6 0 7b4830
-9 6 0 7b4830
-8 6 0 7b4830
-7 6 0 7b4830
-6 6 0 7b4830
-5 6 0 7b4830
-4 6 0 7b4830
-3 6 0 7b4830
-2 6 0 7b4830
-1 6 0 7b4830
-16 7 0 7b4830
-15 7 0 7b4830
-14 7 0 7b4830
-13 7 0 7b4830
-12 7 0 7b4830
-11 7 0 7b4830
-10 7 0 7b4830
-9 7 0 7b4830
-8 7 0 7b4830
-7 7 0 7b4830
-6 7 0 7b4830
-5 7 0 7b4830
-4 7 0 7b4830
-3 7 0 7b4830
-2 7 0 7b4830
-1 7 0 7b4830
-16 8 0 7b4830
-15 8 0 7b4830
-14 8 0 7b4830
-13 8 0 7b4830
-12 8 0 7b4830
-11 8 0 7b4830
-10 8 0 7b4830
-9 8 0 7b4830
-8 8 0 7b4830
-7 8 0 7b4830
-6 8 0 7b4830
-5 8 0 7b4830
-4 8 0 7b4830
-3 8 0 7b4830
-2 8 0 7b4830
-1 8 0 7b4830
-16 9 0 7b4830
-15 9 0 7b4830
-14 9 0 7b4830
-13 9 0 7b4830
-12 9 0 7b4830
-11 9 0 7b4830
-10 9 0 7b4830
-9 9 0 7b4830
-8 9 0 7b4830
-7 9 0 7b4830
-6 9 0 7b4830
-5 9 0 7b4830
-4 9 0 7b4830
-3 9 0 7b4830
-2 9 0 7b4830
-1 9 0 7b4830
-16 10 0 7b4830
-15 10 0 7b4830
-14 10 0 7b4830
-13 10 0 7b4830
-12 10 0 7b4830
-11 10 0 7b4830
-10 10 0 7b4830
-9 10 0 7b4830
-8 10 0 7b4830
-7 10 0 7b4830
-6 10 0 7b4830
-5 10 0 7b4830
-4 10 0 7b4830
-3 10 0 7b4830
-2 10 0 7b4830
-1 10 0 7b4830
-16 11 0 7b4830
-15 11 0 7b4830
-14 11 0 7b4830
-13 11 0 7b4830
-12 11 0 7b4830
-11 11 0 7b4830
-10 11 0 7b4830
-9 11 0 7b4830
-8 11 0 7b4830
-7 11 0 7b4830
-6 11 0 7b4830
-5 11 0 7b4830
-4 11 0 7b4830
-3 11 0 7b4830
-2 11 0 7b4830
-1 11 0 7b4830
-16 12 0 7b4830
-15 12 0 7b4830
-14 12 0 7b4830
-13 12 0 7b4830
-12 12 0 7b4830
-11 12 0 7b4830
