# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-1 -13 0 696a6a
-1 -12 0 837d86
-1 -11 0 696a6a
-1 -10 0 837d86
-1 -9 0 696a6a
-1 -8 0 837d86
-1 -7 0 696a6a
-1 -6 0 837d86
0 -13 0 837d86
1 -13 0 837d86
2 -13 0 837d86
3 -13 0 696a6a
4 -13 0 837d86
5 -13 0 837d86
6 -13 0 837d86
0 -12 0 837d86
1 -12 0 696a6a
2 -12 0 837d86
3 -12 0 837d86
4 -12 0 837d86
5 -12 0 696a6a
6 -12 0 837d86
0 -11 0 837d86
1 -11 0 837d86
2 -11 0 837d86
3 -11 0 696a6a
4 -11 0 837d86
5 -11 0 837d86
6 -11 0 837d86
0 -10 0 837d86
1 -10 0 696a6a
2 -10 0 837d86
3 -10 0 837d86
4 -10 0 837d86
5 -10 0 696a6a
6 -10 0 837d86
0 -9 0 837d86
1 -9 0 837d86
2 -9 0 837d86
3 -9 0 696a6a
4 -9 0 837d86
5 -9 0 837d86
6 -9 0 837d86
0 -8 0 837d86
1 -8 0 696a6a
2 -8 0 837d86
3 -8 0 837d86
4 -8 0 837d86
5 -8 0 696a6a
6 -8 0 837d86
0 -7 0 837d86
1 -7 0 837d86
2 -7 0 837d86
3 -7 0 696a6a
4 -7 0 837d86
5 -7 0 837d86
6 -7 0 837d86
0 -6 0 837d86
1 -6 0 696a6a
2 -6 0 837d86
3 -6 0 837d86
4 -6 0 837d86
5 -6 0 696a6a
6 -6 0 837d86
