# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-8 -10 0 9a6b55
-7 -10 0 9a6b55
-6 -10 0 9a6b55
-5 -10 0 9a6b55
-4 -10 0 9a6b55
-3 -10 0 9a6b55
-2 -10 0 9a6b55
-1 -10 0 663931
-8 -9 0 9a6b55
-7 -9 0 9a6b55
-6 -9 0 9a6b55
-5 -9 0 9a6b55
-4 -9 0 9a6b55
-3 -9 0 9a6b55
-2 -9 0 9a6b55
-1 -9 0 9a6b55
-8 -8 0 9a6b55
-7 -8 0 9a6b55
-6 -8 0 9a6b55
-5 -8 0 9a6b55
-4 -8 0 9a6b55
-3 -8 0 9a6b55
-2 -8 0 9a6b55
-1 -8 0 9a6b55
-8 -7 0 9a6b55
-7 -7 0 9a6b55
-6 -7 0 9a6b55
-5 -7 0 9a6b55
-4 -7 0 9a6b55
-3 -7 0 9a6b55
-2 -7 0 9a6b55
-1 -7 0 9a6b55
-8 -6 0 9a6b55
-7 -6 0 9a6b55
-6 -6 0 9a6b55
-5 -6 0 9a6b55
-4 -6 0 9a6b55
-3 -6 0 9a6b55
-2 -6 0 9a6b55
-1 -6 0 9a6b55
-8 -5 0 9a6b55
-7 -5 0 9a6b55
-6 -5 0 9a6b55
-5 -5 0 9a6b55
-4 -5 0 9a6b55
-3 -5 0 9a6b55
-2 -5 0 9a6b55
-1 -5 0 9a6b55
-8 -4 0 9a6b55
-7 -4 0 9a6b55
-6 -4 0 9a6b55
-5 -4 0 9a6b55
-4 -4 0 9a6b55
-3 -4 0 9a6b55
-2 -4 0 9a6b55
-1 -4 0 9a6b55
-8 -3 0 9a6b55
-7 -3 0 9a6b55
-6 -3 0 9a6b55
-5 -3 0 9a6b55
-4 -3 0 9a6b55
-3 -3 0 9a6b55
-2 -3 0 9a6b55
-1 -3 0 9a6b55
-8 -2 0 9a6b55
-7 -2 0 9a6b55
-6 -2 0 9a6b55
-5 -2 0 9a6b55
-4 -2 0 9a6b55
-3 -2 0 9a6b55
-2 -2 0 9a6b55
-1 -2 0 9a6b55
-8 -1 0 9a6b55
-7 -1 0 9a6b55
-6 -1 0 9a6b55
-5 -1 0 9a6b55
-4 -1 0 9a6b55
-3 -1 0 9a6b55
-2 -1 0 9a6b55
-1 -1 0 9a6b55
-8 -10 1 9a6b55
-7 -10 1 9a6b55
-6 -10 1 9a6b55
-5 -10 1 9a6b55
-4 -10 1 9a6b55
-3 -10 1 9a6b55
-2 -10 1 9a6b55
-1 -10 1 663931
-8 -9 1 9a6b55
-7 -9 1 9a6b55
-8 -8 1 9a6b55
-7 -8 1 9a6b55
-8 -7 1 9a6b55
-7 -7 1 9a6b55
-8 -6 1 9a6b55
-7 -6 1 9a6b55
-8 -5 1 9a6b55
-7 -5 1 9a6b55
-8 -4 1 9a6b55
-7 -4 1 9a6b55
-8 -3 1 9a6b55
-7 -3 1 9a6b55
-8 -2 1 9a6b55
-7 -2 1 9a6b55
-8 -1 1 9a6b55
-7 -1 1 9a6b55
-8 -10 2 9a6b55
-7 -10 2 9a6b55
-6 -10 2 9a6b55
-5 -10 2 9a6b55
-4 -10 2 9a6b55
-3 -10 2 9a6b55
-2 -10 2 9a6b55
-1 -10 2 663931
-8 -9 2 9a6b55
-7 -9 2 9a6b55
-8 -8 2 9a6b55
-7 -8 2 9a6b55
-8 -7 2 9a6b55
-7 -7 2 9a6b55
-8 -6 2 9a6b55
-7 -6 2 9a6b55
-8 -5 2 9a6b55
-7 -5 2 9a6b55
-8 -4 2 9a6b55
-7 -4 2 9a6b55
-8 -3 2 9a6b55
-7 -3 2 9a6b55
-8 -2 2 9a6b55
-7 -2 2 9a6b55
-8 -1 2 9a6b55
-7 -1 2 9a6b55
-8 -10 3 9a6b55
-7 -10 3 9a6b55
-6 -10 3 9a6b55
-5 -10 3 9a6b55
-4 -10 3 9a6b55
-3 -10 3 9a6b55
-2 -10 3 9a6b55
-1 -10 3 663931
-8 -9 3 9a6b55
-7 -9 3 9a6b55
-6 -9 3 ffffff
-5 -9 3 ffffff
-4 -9 3 ffffff
-3 -9 3 ffffff
-2 -9 3 ffffff
-8 -8 3 9a6b55
-7 -8 3 9a6b55
-8 -7 3 9a6b55
