# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-1 -2 0 663931
-2 -1 0 663931
-1 -1 0 663931
-1 -1 1 663931
-1 -1 2 663931
-1 -1 3 663931
-1 -1 4 663931
-1 -1 5 663931
-2 -2 6 4b692f
-1 -2 6 4b692f
-2 -1 6 4b692f
-1 -1 6 663931
-1 -3 7 4b692f
-2 -2 7 4b692f
-1 -2 7 663931
-3 -1 7 4b692f
-2 -1 7 663931
-1 -1 7 663931
-1 -3 8 4b692f
-2 -2 8 4b692f
-1 -2 8 663931
-3 -1 8 4b692f
-2 -1 8 663931
-1 -1 8 663931
-2 -2 9 4b692f
-1 -2 9 4b692f
-2 -1 9 4b692f
-1 -1 9 4b692f
0 -2 0 663931
0 -1 0 663931
1 -1 0 663931
0 -1 1 663931
0 -1 2 663931
0 -1 3 663931
0 -1 4 663931
0 -1 5 663931
0 -2 6 4b692f
1 -2 6 4b692f
0 -1 6 663931
1 -1 6 4b692f
0 -3 7 4b692f
0 -2 7 663931
1 -2 7 4b692f
0 -1 7 663931
1 -1 7 663931
2 -1 7 4b692f
0 -3 8 4b692f
0 -2 8 663931
1 -2 8 4b692f
0 -1 8 663931
1 -1 8 663931
2 -1 8 4b692f
0 -2 9 4b692f
1 -2 9 4b692f
0 -1 9 4b692f
1 -1 9 4b692f
-2 0 0 663931
-1 0 0 663931
-1 1 0 663931
-1 0 1 663931
-1 0 2 663931
-1 0 3 663931
-1 0 4 663931
-1 0 5 663931
-2 0 6 4b692f
-1 0 6 663931
-2 1 6 4b692f
-1 1 6 4b692f
-3 0 7 4b692f
-2 0 7 663931
-1 0 7 663931
-2 1 7 4b692f
-1 1 7 663931
-1 2 7 4b692f
-3 0 8 4b692f
-2 0 8 663931
-1 0 8 663931
-2 1 8 4b692f
-1 1 8 663931
-1 2 8 4b692f
-2 0 9 4b692f
-1 0 9 4b692f
-2 1 9 4b692f
-1 1 9 4b692f
0 0 0 663931
1 0 0 663931
0 1 0 663931
0 0 1 663931
0 0 2 663931
0 0 3 663931
0 0 4 663931
0 0 5 663931
0 0 6 663931
1 0 6 4b692f
0 1 6 4b692f
1 1 6 4b692f
0 0 7 663931
1 0 7 663931
2 0 7 4b692f
0 1 7 663931
1 1 7 4b692f
0 2 7 4b692f
0 0 8 663931
1 0 8 663931
2 0 8 4b692f
0 1 8 663931
1 1 8 4b692f
0 2 8 4b692f
0 0 9 4b692f
1 0 9 4b692f
0 1 9 4b692f
1 1 9 4b692f
