# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
0 -8 0 8f563b
1 -8 0 8f563b
2 -8 0 8f563b
3 -8 0 8f563b
4 -8 0 8f563b
5 -8 0 8f563b
6 -8 0 8f563b
7 -8 0 8f563b
0 -7 0 8f563b
1 -7 0 eec39a
2 -7 0 eec39a
3 -7 0 eec39a
4 -7 0 eec39a
5 -7 0 eec39a
6 -7 0 eec39a
7 -7 0 8f563b
0 -6 0 8f563b
1 -6 0 eec39a
2 -6 0 eec39a
3 -6 0 eec39a
4 -6 0 eec39a
5 -6 0 eec39a
6 -6 0 eec39a
7 -6 0 8f563b
0 -5 0 8f563b
1 -5 0 eec39a
2 -5 0 eec39a
3 -5 0 eec39a
4 -5 0 eec39a
5 -5 0 eec39a
6 -5 0 eec39a
7 -5 0 8f563b
0 -4 0 8f563b
1 -4 0 eec39a
2 -4 0 eec39a
3 -4 0 eec39a
4 -4 0 eec39a
5 -4 0 eec39a
6 -4 0 eec39a
7 -4 0 8f563b
0 -3 0 8f563b
1 -3 0 eec39a
2 -3 0 eec39a
3 -3 0 eec39a
4 -3 0 eec39a
5 -3 0 eec39a
6 -3 0 eec39a
7 -3 0 8f563b
0 -2 0 8f563b
1 -2 0 eec39a
2 -2 0 eec39a
3 -2 0 eec39a
4 -2 0 eec39a
5 -2 0 eec39a
6 -2 0 eec39a
7 -2 0 8f563b
0 -1 0 8f563b
1 -1 0 8f563b
2 -1 0 8f563b
3 -1 0 8f563b
4 -1 0 8f563b
5 -1 0 8f563b
6 -1 0 8f563b
7 -1 0 8f563b
0 0 0 8f563b
1 0 0 8f563b
2 0 0 8f563b
3 0 0 8f563b
4 0 0 8f563b
5 0 0 8f563b
6 0 0 8f563b
7 0 0 8f563b
0 1 0 8f563b
1 1 0 eec39a
2 1 0 eec39a
3 1 0 eec39a
4 1 0 eec39a
5 1 0 eec39a
6 1 0 eec39a
7 1 0 8f563b
0 2 0 8f563b
1 2 0 eec39a
2 2 0 eec39a
3 2 0 eec39a
4 2 0 eec39a
5 2 0 eec39a
6 2 0 eec39a
7 2 0 8f563b
0 3 0 8f563b
1 3 0 eec39a
2 3 0 eec39a
3 3 0 eec39a
4 3 0 eec39a
5 3 0 eec39a
6 3 0 eec39a
7 3 0 8f563b
0 4 0 8f563b
1 4 0 eec39a
2 4 0 eec39a
3 4 0 eec39a
4 4 0 eec39a
5 4 0 eec39a
6 4 0 eec39a
7 4 0 8f563b
0 5 0 8f563b
1 5 0 eec39a
2 5 0 eec39a
3 5 0 eec39a
4 5 0 eec39a
5 5 0 eec39a
6 5 0 eec39a
7 5 0 8f563b
0 6 0 8f563b
1 6 0 eec39a
2 6 0 eec39a
3 6 0 eec39a
4 6 0 eec39a
5 6 0 eec39a
6 6 0 eec39a
7 6 0 8f563b
0 7 0 8f563b
1 7 0 8f563b
2 7 0 8f563b
3 7 0 8f563b
4 7 0 8f563b
5 7 0 8f563b
6 7 0 8f563b
7 7 0 8f563b
-8 -8 0 8f563b
-7 -8 0 8f563b
-6 -8 0 8f563b
-5 -8 0 8f563b
-4 -8 0 8f563b
-3 -8 0 8f563b
-2 -8 0 8f563b
-1 -8 0 8f563b
-8 -7 0 8f563b
-7 -7 0 eec39a
-6 -7 0 eec39a
-5 -7 0 eec39a
-4 -7 0 eec39a
-3 -7 0 eec39a
-2 -7 0 eec39a
-1 -7 0 8f563b
-8 -6 0 8f563b
-7 -6 0 eec39a
-6 -6 0 eec39a
-5 -6 0 eec39a
-4 -6 0 eec39a
-3 -6 0 eec39a
-2 -6 0 eec39a
-1 -6 0 8f563b
-8 -5 0 8f563b
-7 -5 0 eec39a
-6 -5 0 eec39a
-5 -5 0 eec39a
-4 -5 0 eec39a
-3 -5 0 eec39a
-2 -5 0 eec39a
-1 -5 0 8f563b
-8 -4 0 8f563b
-7 -4 0 eec39a
-6 -4 0 eec39a
-5 -4 0 eec39a
-4 -4 0 eec39a
-3 -4 0 eec39a
-2 -4 0 eec39a
-1 -4 0 8f563b
-8 -3 0 8f563b
-7 -3 0 eec39a
-6 -3 0 eec39a
-5 -3 0 eec39a
-4 -3 0 eec39a
-3 -3 0 eec39a
-2 -3 0 eec39a
-1 -3 0 8f563b
-8 -2 0 8f563b
-7 -2 0 eec39a
-6 -2 0 eec39a
-5 -2 0 eec39a
-4 -2 0 eec39a
-3 -2 0 eec39a
-2 -2 0 eec39a
-1 -2 0 8f563b
-8 -1 0 8f563b
-7 -1 0 8f563b
-6 -1 0 8f563b
-5 -1 0 8f563b
-4 -1 0 8f563b
-3 -1 0 8f563b
-2 -1 0 8f563b
-1 -1 0 8f563b
-8 0 0 8f563b
-7 0 0 8f563b
-6 0 0 8f563b
-5 0 0 8f563b
-4 0 0 8f563b
-3 0 0 8f563b
-2 0 0 8f563b
-1 0 0 8f563b
