# Goxel 0.8.0
# One line per voxel
# X Y Z RRGGBB
-50 -50 -1 485b3d
-49 -50 -1 485b3d
-50 -49 -1 485b3d
-49 -49 -1 485b3d
-48 -50 -1 485b3d
-47 -50 -1 485b3d
-46 -50 -1 485b3d
-45 -50 -1 485b3d
-44 -50 -1 485b3d
-43 -50 -1 485b3d
-42 -50 -1 485b3d
-41 -50 -1 485b3d
-40 -50 -1 485b3d
-39 -50 -1 485b3d
-38 -50 -1 485b3d
-37 -50 -1 485b3d
-36 -50 -1 485b3d
-35 -50 -1 485b3d
-34 -50 -1 485b3d
-33 -50 -1 485b3d
-48 -49 -1 485b3d
-47 -49 -1 485b3d
-46 -49 -1 485b3d
-45 -49 -1 485b3d
-44 -49 -1 485b3d
-43 -49 -1 485b3d
-42 -49 -1 485b3d
-41 -49 -1 485b3d
-40 -49 -1 485b3d
-39 -49 -1 485b3d
-38 -49 -1 485b3d
-37 -49 -1 485b3d
-36 -49 -1 485b3d
-35 -49 -1 485b3d
-34 -49 -1 485b3d
-33 -49 -1 485b3d
-32 -50 -1 485b3d
-31 -50 -1 485b3d
-30 -50 -1 485b3d
-29 -50 -1 485b3d
-28 -50 -1 485b3d
-27 -50 -1 485b3d
-26 -50 -1 485b3d
-25 -50 -1 485b3d
-24 -50 -1 485b3d
-23 -50 -1 485b3d
-22 -50 -1 485b3d
-21 -50 -1 485b3d
-20 -50 -1 485b3d
-19 -50 -1 485b3d
-18 -50 -1 485b3d
-17 -50 -1 485b3d
-32 -49 -1 485b3d
-31 -49 -1 485b3d
-30 -49 -1 485b3d
-29 -49 -1 485b3d
-28 -49 -1 485b3d
-27 -49 -1 485b3d
-26 -49 -1 485b3d
-25 -49 -1 485b3d
-24 -49 -1 485b3d
-23 -49 -1 485b3d
-22 -49 -1 485b3d
-21 -49 -1 485b3d
-20 -49 -1 485b3d
-19 -49 -1 485b3d
-18 -49 -1 485b3d
-17 -49 -1 485b3d
-16 -50 -1 485b3d
-15 -50 -1 485b3d
-14 -50 -1 485b3d
-13 -50 -1 485b3d
-12 -50 -1 485b3d
-11 -50 -1 485b3d
-10 -50 -1 485b3d
-9 -50 -1 485b3d
-8 -50 -1 485b3d
-7 -50 -1 485b3d
-6 -50 -1 485b3d
-5 -50 -1 485b3d
-4 -50 -1 485b3d
-3 -50 -1 485b3d
-2 -50 -1 485b3d
-1 -50 -1 485b3d
-16 -49 -1 485b3d
-15 -49 -1 485b3d
-14 -49 -1 485b3d
-13 -49 -1 485b3d
-12 -49 -1 485b3d
-11 -49 -1 485b3d
-10 -49 -1 485b3d
-9 -49 -1 485b3d
-8 -49 -1 485b3d
-7 -49 -1 485b3d
-6 -49 -1 485b3d
-5 -49 -1 485b3d
-4 -49 -1 485b3d
-3 -49 -1 485b3d
-2 -49 -1 485b3d
-1 -49 -1 485b3d
0 -50 -1 485b3d
1 -50 -1 485b3d
2 -50 -1 485b3d
3 -50 -1 485b3d
4 -50 -1 485b3d
5 -50 -1 485b3d
6 -50 -1 485b3d
7 -50 -1 485b3d
8 -50 -1 485b3d
